INFO   | jvm 1    | main    | 2016/04/20 01:25:15.506 | WARN  [automatedUpdateCl2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2010) [UpdateOpenLigaDbService] Can not check webservice for updates: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.507 | INFO  [automatedUpdateCl2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2010) [UpdateOpenLigaDbService] Updating matches for cl2010
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.507 | WARN  [automatedUpdateEC2012::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateEC2012) [UpdateOpenLigaDbService] Can not update by webservice: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.508 | WARN  [automatedUpdateCl2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2010) [UpdateOpenLigaDbService] Can not update by webservice: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.509 | WARN  [automatedUpdate2LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate2LGer2010) [UpdateOpenLigaDbService] Can not check webservice for updates: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.509 | INFO  [automatedUpdate2LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate2LGer2010) [UpdateOpenLigaDbService] Updating matches for 2lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.510 | WARN  [automatedUpdate2LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate2LGer2010) [UpdateOpenLigaDbService] Can not update by webservice: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.510 | WARN  [automatedUpdate1LGer2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2011) [UpdateOpenLigaDbService] Can not check webservice for updates: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.511 | INFO  [automatedUpdate1LGer2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2011) [UpdateOpenLigaDbService] Updating matches for 1lger2011
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.511 | WARN  [automatedUpdate1LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2010) [UpdateOpenLigaDbService] Can not check webservice for updates: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.512 | INFO  [automatedUpdate1LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2010) [UpdateOpenLigaDbService] Updating matches for 1lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.513 | WARN  [automatedUpdate1LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2010) [UpdateOpenLigaDbService] Can not update by webservice: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
INFO   | jvm 1    | main    | 2016/04/20 01:25:15.513 | WARN  [automatedUpdate1LGer2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2011) [UpdateOpenLigaDbService] Can not update by webservice: I/O error: www.openligadb.de; nested exception is java.net.UnknownHostException: www.openligadb.de
STATUS | wrapper  | main    | 2016/04/20 01:25:32.467 | Pinging the JVM took 11 seconds to respond.
STATUS | wrapper  | main    | 2016/04/20 01:25:32.467 | Pinging the JVM took 2 seconds to respond.
INFO   | jvm 1    | main    | 2016/04/20 01:47:22.779 | INFO  [automatedUpdateEC2012::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateEC2012) [UpdateOpenLigaDbService] Checking update status for ec2012
INFO   | jvm 1    | main    | 2016/04/20 01:47:23.181 | INFO  [automatedUpdateEC2012::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateEC2012) [UpdateOpenLigaDbService] No update needed for ec2012
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.796 | INFO  [automatedUpdate1LGer2012::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2012) [UpdateOpenLigaDbService] Checking update status for 1lger2012
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.797 | INFO  [automatedUpdate2LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate2LGer2010) [UpdateOpenLigaDbService] Checking update status for 2lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.898 | INFO  [automatedUpdate1LGer2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2011) [UpdateOpenLigaDbService] Checking update status for 1lger2011
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.898 | INFO  [automatedUpdateWWC2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateWWC2011) [UpdateOpenLigaDbService] Checking update status for wwc2011
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.898 | INFO  [automatedUpdateCl2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2010) [UpdateOpenLigaDbService] Checking update status for cl2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.899 | INFO  [automatedUpdateCl2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2011) [UpdateOpenLigaDbService] Checking update status for cl2011
INFO   | jvm 1    | main    | 2016/04/20 01:47:32.899 | INFO  [automatedUpdate1LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2010) [UpdateOpenLigaDbService] Checking update status for 1lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.503 | INFO  [automatedUpdateCl2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2011) [UpdateOpenLigaDbService] No update needed for cl2011
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.503 | INFO  [automatedUpdate1LGer2012::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2012) [UpdateOpenLigaDbService] No update needed for 1lger2012
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.604 | INFO  [automatedUpdate1LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2010) [UpdateOpenLigaDbService] No update needed for 1lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.604 | INFO  [automatedUpdateCl2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateCl2010) [UpdateOpenLigaDbService] No update needed for cl2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.705 | INFO  [automatedUpdateWWC2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdateWWC2011) [UpdateOpenLigaDbService] No update needed for wwc2011
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.705 | INFO  [automatedUpdate2LGer2010::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate2LGer2010) [UpdateOpenLigaDbService] No update needed for 2lger2010
INFO   | jvm 1    | main    | 2016/04/20 01:47:33.705 | INFO  [automatedUpdate1LGer2011::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (automatedUpdate1LGer2011) [UpdateOpenLigaDbService] No update needed for 1lger2011
