INFO   | jvm 1    | main    | 2016/03/18 13:07:03.262 | 	at de.hybris.platform.core.model.type.TypeManagerManagedModel.getName(TypeManagerManagedModel.java:181)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.262 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertType(DefaultPlatformTypeFacadeStrategy.java:296)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.262 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.loadAndCache(DefaultPlatformTypeFacadeStrategy.java:181)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.263 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertAttribute(DefaultPlatformTypeFacadeStrategy.java:342)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.263 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertType(DefaultPlatformTypeFacadeStrategy.java:279)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.264 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.loadAndCache(DefaultPlatformTypeFacadeStrategy.java:181)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.264 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.load(DefaultPlatformTypeFacadeStrategy.java:143)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.264 | 	at com.hybris.cockpitng.dataaccess.facades.type.impl.DefaultTypeFacade.load(DefaultTypeFacade.java:47)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.267 | 	at com.hybris.cockpitng.dataaccess.facades.type.impl.DefaultTypeFacade.load(DefaultTypeFacade.java:54)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.268 | 	at com.hybris.backoffice.config.WarmUpTypeFacadeCaches.cacheTypesAndLoadStrategies(WarmUpTypeFacadeCaches.java:83)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.268 | 	at com.hybris.backoffice.config.WarmUpTypeFacadeCaches.warmUpCaches(WarmUpTypeFacadeCaches.java:62)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.268 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.269 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.269 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.269 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.269 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeCustomInitMethod(AbstractAutowireCapableBeanFactory.java:1702)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.271 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1641)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.271 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1570)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.271 | 	... 24 more
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.272 | ERROR [localhost-startStop-1] [ContextLoader] Context initialization failed
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.272 | org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'backofficeWarmUpTypeFacadeCaches' defined in ServletContext resource [/WEB-INF/backoffice-web-spring.xml]: Invocation of init method failed; nested exception is java.lang.IllegalStateException: tenant <<master>>, (2076782103) not yet started - got no cache (state:STARTED currentlyStopping:true cache:RegionCacheAdapter(1385578681) - <<master>>)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.273 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1574)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.273 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:539)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.274 | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:476)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.274 | 	at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:303)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.274 | 	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:230)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.320 | 	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:299)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.323 | 	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:194)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.324 | 	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:755)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.325 | 	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:757)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.325 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:480)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.326 | 	at org.springframework.web.context.ContextLoader.configureAndRefreshWebApplicationContext(ContextLoader.java:434)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.328 | 	at org.springframework.web.context.ContextLoader.initWebApplicationContext(ContextLoader.java:306)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.328 | 	at de.hybris.platform.spring.HybrisContextLoaderListener.doInitWebApplicationContext(HybrisContextLoaderListener.java:145)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.329 | 	at de.hybris.platform.spring.HybrisContextLoaderListener.initWebApplicationContext(HybrisContextLoaderListener.java:125)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.329 | 	at org.springframework.web.context.ContextLoaderListener.contextInitialized(ContextLoaderListener.java:106)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.334 | 	at de.hybris.platform.spring.HybrisContextLoaderListener.contextInitialized(HybrisContextLoaderListener.java:80)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.334 | 	at org.apache.catalina.core.StandardContext.listenerStart(StandardContext.java:5016)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.337 | 	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5524)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.341 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.341 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1575)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.344 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1565)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.345 | 	at java.util.concurrent.FutureTask.run(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.345 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.345 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.346 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.346 | Caused by: java.lang.IllegalStateException: tenant <<master>>, (2076782103) not yet started - got no cache (state:STARTED currentlyStopping:true cache:RegionCacheAdapter(1385578681) - <<master>>)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.346 | 	at de.hybris.platform.core.AbstractTenant.getCache(AbstractTenant.java:1809)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.346 | 	at de.hybris.platform.servicelayer.internal.i18n.impl.DefaultLocalizationService.getSupportedLocales(DefaultLocalizationService.java:270)
