#**************************************************************
# This impex file fixes some HTML2TaggedTextTranslation issues caused by <br> tags which are impolerted as <br /> here

$lang=de

UPDATE Product;code[unique=true];$catalogVersion[unique=true];name[lang=$lang];summary[lang=$lang];description[lang=$lang];ApparelStyleVariantProduct.style[lang=$lang];ApparelSizeVariantProduct.size[lang=$lang]
 ;300026689;;Slip On Vans Classic Slip on black white checker/white 8.5;Der klassische Slip-On von Vans ist ein Schuh der einfach nie an Style verliert.;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;black white checker/white;8.5;;
 ;300026690;;Slip On Vans Classic Slip on black white checker/white 9.0;Der klassische Slip-On von Vans ist ein Schuh der einfach nie an Style verliert.;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;black white checker/white;9.0 ;;
 ;300026691;;Slip On Vans Classic Slip on black white checker/white 9.5;Der klassische Slip-On von Vans ist ein Schuh der einfach nie an Style verliert.;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;black white checker/white;9.5;;
 ;300036392;;Sneaker Vans Old Skool black/white 11.5;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;11.5;;
 ;300036393;;Sneaker Vans Old Skool black/white 13.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;13.0 ;;
 ;300036394;;Sneaker Vans Old Skool black/white 8.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;8.0 ;;
 ;300040462;;Damen Sonnenbrille Roxy Carla roxy black grey;Die Carla von ROXY ist schnittig wie ein Sportwagen und ist selbstvständlich auf das moderne Frauengesicht angepasst. Aber Aussehen und Stye reichen bei einer modernen Sonnenbrille natürlich nicht mehr, weshalb die Carla alle schädlichen UV Strahlen zu 100% filtert und somit deine Augen jederzeit bestens geschützt sind.;Features: <br />  + Nylon Grilamid injected frame <br />  + Distortion free shatter resistant lenses <br />  + 8 base curve <br />  + 100% UV sun protection <br />  + Silver Italian hinge <br />;;;;
 ;300040585;;Protektor Dainese Shield 8 Evo white L;DAINESE SHIELD 8 EVO<br />  ergonomischer Rückenprotektor<br />  <br />  FEATURES:<br />  + Shield-Rückenprotektor mit 8 Platten<br />  + weiche Schutzelemente auf der Innenseite<br />  + weich und atmungsaktive Polsterung<br />  + Nierengurt-Verschlusssystem<br />  + Träger abnehmbar;;;;;
 ;300044323;;Reparatur Tool Red Basic Kit;BASIC KIT<br />  Befriedige deinen Drang nach Speed.<br />  <br />  Beinhaltet<br />  + Zip Tool<br />  + Ceramic Stein<br />  + Rub-Down Wax<br />  + Stash Carry Tasche;;;;;
 ;300045375;;Sonnenbrille Quiksilver Dinero black white red grey;Die Quicksilver Dinero Sonnenbrille ist aus dem Quik's Fashion Sortiment. Diese großartige Brille von Quicksilver garantiert 100 % UV Schutz und kommt mit Azetat Rahmen.<br />Die Dinero von Quicksilver hat polycarbonate Gläser und high quality Gelenke aus Italien.;;;;;
 ;300046587;;Sonnenbrille Fox The Condition polished black grey;The Condition von Fox verbindet Ästätik und Komfort ;Features:<br /> leichter und widerstandsfähiger O-Matter Rahmen mit integriertem Gelenk und Metall Fox Head stoßfeste Plutonite Linsen<br />100% UV-Schutz <br />High Definition Optics Technology.<br />  HDO Technology. <br />  <br />  Flush Mounted Plutonite Linsen;;;;
 ;300047436;;Sonnenbrille Anon Crusher polar black grey polarized;Jedes Kind weiß das Anon extrem feine Goggels macht. <br /> Aberseit einiger Zeit auch sicke Sonnenbrillen. <br />Umd deine Augen auch beim Chillen irgendwo da draussen zu schützen.;;;;;
 ;300062466;;Sneaker Vans Old Skool black/white 7.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;7.0 ;;
 ;300068437;;;;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;;;;
 ;300076932;;Sneaker Vans Old Skool black/white 4.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;4.0 ;;
 ;300076933;;Sneaker Vans Old Skool black/white 4.5;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;4.5;;
 ;300076934;;Sneaker Vans Old Skool black/white 5.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;5.0 ;;
 ;300076935;;Sneaker Vans Old Skool black/white 6.0;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;6.0 ;;
 ;300076936;;Sneaker Vans Old Skool black/white 7.5;Klasssischer in schwarz gehaltener Vans Old Skool.;Features:<br /><br />+ Obermaterialien: Velours und Canvas mit klassischem Action Streifen<br />+ Doppelnaht Konstruktion mit Kontrastdetail<br />+ gestanzte EVA Einlage<br />+ leicht gefütterte Zunge und Schaft<br />+ vulkanisierte Gummi Mittelsohle<br />+ Signature Gummi Waffel Außensohle;;7.5;;
 ;M18729;;;Der klassische Slip-On von Vans ist ein Schuh der einfach nie an Style verliert.;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;;;;
 ;M28324;;;Der klassische Slip-On von Vans ist ein Schuh der einfach nie an Style verliert.;Features:<br /><br />+ Canvas Obermaterial<br />+ vulkanisierte Waffel Gummiaußensohle;;;;
 ;M32946;;Protektor Dainese Shield 8 Evo;DAINESE SHIELD 8 EVO<br />  ergonomischer Rückenprotektor<br />  <br />  FEATURES:<br />  + Shield-Rückenprotektor mit 8 Platten<br />  + weiche Schutzelemente auf der Innenseite<br />  + weich und atmungsaktive Polsterung<br />  + Nierengurt-Verschlusssystem<br />  + Träger abnehmbar;;;;;

 ;29867;;;<p> 6,6 x 11 1/4 x 19 1/2 x 14 1/4 x 2 9/16 <br /><br /> Für viele ist Wayne Lynch der Pionier der Shortboard Revolution in den 70er jahren. Seit damals prägen feinste Technik und coole Designs seine Boards. </p><p>Info Versandkosten:</p><p>Der Versand von Surfboards nach Österreich und Deutschland ist kostenlos.</p><p>Innerhalb der EU werden 40 Euro für den Versand verrechnet, außerhalb der EU 80 Euro.<br />Der Versand hierfür wird versichert mit DHL durchgeführt und nach Eingang der Bestellung erfolgt eine Kontaktaufnahme bezüglich der Versandkosten durch unser Customer Service.</p>;;;;;
 
